temp_id,address,countries_scope,lat,lon,name,phone,url
2,"sogn og fjordane university collegesogndal, norway",NO,,,faculty of teacher education and sport,,
3,"university of bergenbergen, norway",NO,,,"centre for cancer biomarkers, ccbio, department of clinical medicine, section for pathology",,
4,"haukeland university hospitalbergen, norway",NO,,,department of pathology,,
4,"haukeland university hospitalbergen, norway",NO,,,department of pathology,,
5,"university of bergenbergen, norway",NO,,,"centre for cancer biomarkers, ccbio, department of clinical medicine, section for pathology",,
6,"haukeland university hospitalbergen, norway",NO,,,department of pathology,,
6,"university of bergenbergen, norway",NO,,,"centre for cancer biomarkers, ccbio, department of clinical medicine, section for pathology",,
7,"haukeland university hospitalbergen, norway",NO,,,department of pathology,,
7,"university of bergenbergen, norway",NO,,,"centre for cancer biomarkers, ccbio, department of clinical medicine, section for pathology",,
8,"haukeland university hospitalbergen, norway",NO,,,department of pathology,,
8,"university of bergenbergen, norway",NO,,,"department of heart disease, haukeland university hospital, bergen, norway. ; department of biomedicine",,
9,"haukeland university hospitalbergen, norway",NO,,,department of heart disease,,
10,"haukeland university hospitalbergen, norway",NO,,,department of heart disease,,
11,"university of bergenbergen, norway",NO,,,"department of heart disease, haukeland university hospital, bergen, norway. ; institute of clinical sciences",,
12,"university of bergenbergen, norway",NO,,,"department of heart disease, haukeland university hospital, bergen, norway. ; institute of clinical sciences",,
13,"uit - the arctic university of norwaytromsø, norway",NO,,,department of medical biology,,
14,"norwegian university of science and technologytrondheim, norway",NO,,,"department of tumor biology, institute for cancer research, norwegian radium hospital, oslo, norway; department of circulation and medical imaging, faculty of medicine",,
15,"norwegian radium hospitaloslo, norway",NO,,,"department of tumor biology, institute for cancer research",,
16,"uit - the arctic university of norwaytromsø, norway",NO,,,department of medical biology,,
17,"uit - the arctic university of norwaytromsø, norway",NO,,,"department of tumor biology, institute for cancer research, norwegian radium hospital, oslo, norway; department of pharmacy",,
18,"oslo university hospitaloslo, norway",NO,,,"section for cancer cytogenetics, institute for cancer genetics and informatics, the norwegian radium hospital",,
19,"oslo university hospitaloslo, norway",NO,,,"section for cancer cytogenetics, institute for cancer genetics and informatics, the norwegian radium hospital",,
20,"oslo university hospitaloslo, norway",NO,,,"department of pathology, the norwegian radium hospital",,
21,"oslo university hospitaloslo, norway",NO,,,"section for cancer cytogenetics, institute for cancer genetics and informatics, the norwegian radium hospital",,
22,"oslo university hospitaloslo, norway",NO,,,"department of pathology, the norwegian radium hospital",,
23,"oslo university hospitaloslo, norway",NO,,,"section for cancer cytogenetics, institute for cancer genetics and informatics, the norwegian radium hospital",,
24,"university of oslooslo, norway",NO,,,faculty of medicine,,
24,"norwegian university of science and technologylevanger, norway",NO,,,"hunt research centre, department of public health and general practice",,
25,"bjerknes centre for climate researchbergen, norway",NO,,,uni research,,
26,"5020, 7803, bergen, norway",NO,,,"geophysical institute, university of bergen, postboks ",,
27,"haukeland university hospital, 5021, n- bergen, norway",NO,,,"division for hematology, department of medicine",,
28,"university of osloinstitute of psychology, norway",NO,,,,,
29,"diakonhjemmet hospitaloslo, norway",NO,,,national resource center for rehabilitation in rheumatology,,
30,"jonas lies vei 91, 5009, n- bergen, norway",NO,,,"department of biological and medical psychology, division of cognitive neuroscience, university of bergen, bbb, 9. etg.",,
31,"lovisenberg diakonale hospital, 9414, 0440 oslo, norway",NO,,,"department of family health care nursing, university of california san francisco, san francisco, ca 3, usa; department of research",,
32,"university of oslo, 0440, 0318 oslo, norway",NO,,,"department of research, lovisenberg diakonale hospital,  oslo, norway; department of nursing science, institute of health and society, faculty of medicine",,
33,"allégaten 41, 5007, n- bergen, norway",NO,,,"department of chemistry, university of bergen",,
34,"moellendalsvn 6, 5009, bergen, norway",NO,,,"institute for physiotherapy, bergen university college",,
35,"moellendalsvn 6, 5009, bergen, norway",NO,,,"institute for physiotherapy, bergen university college",,
36,"kalfarveien 31, 5018, bergen, norway",NO,,,"physiotherapy research group, department of global and public health, university of bergen",,
36,"oslo, 1050, 0316, norway",NO,,,"department of biology, centre for ecological and evolutionary synthesis, university of oslo, p.o. box , blindern",,
37,"norwegian university of science and technologytrondheim, norway",NO,,,"department of sport sciences, faculty of social sciences and technology management",,
38,"school of dentistryuniversity of bergen, norway",NO,,,department of pedodontics,,
39,"department of medicineuniversity hospital of trondheim, norway",NO,,,,,
40,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of public health and general practice, faculty of medicine",,
41,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of public health and general practice, faculty of medicine",,
42,"trondheim university hospital, 7006, trondheim, norway",NO,,,"department of breast and endocrine surgery, st. olav's hospital",,
42,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of laboratory medicine, children's and women's health, faculty of medicine",,
43,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of laboratory medicine, children's and women's health, faculty of medicine",,
44,"university of bergen, 5020, bergen, norway",NO,,,"department of clinical medicine, centre for cancer biomarkers ccbio",,
45,"haukeland university hospital, 5021, bergen, norway",NO,,,department of pathology,,
45,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of public health and general practice, faculty of medicine",,
46,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of public health and general practice, faculty of medicine",,
47,"norwegian university of science and technology, 7491, trondheim, norway",NO,,,"department of laboratory medicine, children's and women's health, faculty of medicine",,
48,"university hospitaltromsø, norway",NO,,,department of medical microbiology,,
49,"p.o. box 2110, 4956, 6402 molde, norway",NO,,,"centre for research and education in forensic psychiatry, oslo university hospital, p.o. box , nydalen, n-0424 oslo, norway; molde university college",,
50,"vestre viken hospital trust, 4956, 3004 drammen, norway",NO,,,"centre for research and education in forensic psychiatry, oslo university hospital, p.o. box , nydalen, n-0424 oslo, norway; division of mental health and addiction",,
51,"p.o.box 1039, 4956, blindern n-0315, norway",NO,,,"division of mental health and addiction, department of research and education, oslo university hospital, ullevål, p.o.box , nydalen, n-0424 oslo, norway; institute of clinical medicine, university of oslo",,
52,"vestre viken hospital trust, 3004, drammen, norway",NO,,,division of mental health and addiction,,
53,"p.o.box, 1039, blindern n-0315, norway",NO,,,"institute of clinical medicine, university of oslo",,
54,"nydalen, 4956, n-0424 oslo, norway",NO,,,"unit for biostatistics and epidemiology, oslo university hospital, ullevål, p.o. box ",,
55,"p.o.box 1039, 4956, blindern n-0315, norway",NO,,,"division of mental health and addiction, department of research and education, oslo university hospital, ullevål, p.o.box , nydalen, n-0424 oslo, norway; institute of clinical medicine, university of oslo",,
56,"university of oslodept of molecular cell biology, norway",NO,,,,,
57,"hospital of vestfoldtoensberg, norway",NO,,,,,
58,"norwegian radium hospitaloslo, norway",NO,,,department of medical oncology and radiotherapy,,
59,"norwegian university of life sciences, 1432, n- ås, norway",NO,,,"department of chemistry, biotechnology and food science",,
60,"norwegian university of life sciences, 1432, n- ås, norway",NO,,,"department of chemistry, biotechnology and food science",,
61,"norwegian university of life sciences, 1432, n- ås, norway",NO,,,"department of chemistry, biotechnology and food science",,
62,"norwegian university of life sciences, 1432, n- ås, norway",NO,,,"department of chemistry, biotechnology and food science",,
63,"norwegian university of life sciences, 1432, n- ås, norway",NO,,,"department of chemistry, biotechnology and food science",,
64,"university of bergenbergen, norway",NO,,,department of biomedicine,,
65,"university of bergenbergen, norway",NO,,,"institute of marine research, bergen, norway; department of biology",,
66,"institute of marine researchbergen, norway",NO,,,,,
67,"university of bergenbergen, norway",NO,,,department of biology,,
68,"institute of marine researchbergen, norway",NO,,,,,
69,"institute of marine researchflødevigen, norway",NO,,,,,
70,"university of agderkristiansand, norway",NO,,,"institute of marine research, flødevigen, norway; centre for ecological and evolutionary synthesis (cees), department of biosciences, university of oslo, oslo, norway; department of natural sciences, faculty of science and engineering",,
71,"institute of marine researchbergen, norway",NO,,,,,
72,"montebello, 0310, oslo, norway",NO,,,"department of genetics, institute for cancer research, oslo university hospital radiumospitalet",,
73,"university of oslooslo, norway",NO,,,"the k.g. jebsen center for breast cancer research, institute for clinical medicine, faculty of medicine",,
73,"montebello, 0310, oslo, norway",NO,,,"department of genetics, institute for cancer research, oslo university hospital radiumospitalet",,
74,"university of oslooslo, norway",NO,,,"the k.g. jebsen center for breast cancer research, institute for clinical medicine, faculty of medicine",,
75,"division of medicine, 1476, lørenskog, norway",NO,,,"department of clinical molecular biology and laboratory science (epigen), akershus university hospital",,
74,"montebello, 0310, oslo, norway",NO,,,"department of genetics, institute for cancer research, oslo university hospital radiumospitalet",,
75,"division of medicine, 1476, lørenskog, norway",NO,,,"department of clinical molecular biology and laboratory science (epigen), akershus university hospital",,
75,"montebello, 0310, oslo, norway",NO,,,"department of genetics, institute for cancer research, oslo university hospital radiumospitalet",,
76,"university of oslooslo, norway",NO,,,"the k.g. jebsen center for breast cancer research, institute for clinical medicine, faculty of medicine",,
77,"radiumhospitaletoslo, norway",NO,,,"department of oncology, oslo university hospital",,
77,"montebello, 0310, oslo, norway",NO,,,"department of genetics, institute for cancer research, oslo university hospital radiumospitalet",,
78,"university of oslooslo, norway",NO,,,"the k.g. jebsen center for breast cancer research, institute for clinical medicine, faculty of medicine",,
78,"oslo university hospitaloslo, norway",NO,,,department of obstetrics,,
79,"oslo university hospitaloslo, norway",NO,,,department of obstetrics,,
80,"oslo university hospitaloslo, norway",NO,,,department of obstetrics,,
81,"oslo university hospitaloslo, norway",NO,,,"department of obstetrics, oslo university hospital, oslo, norway; norwegian national advisory unit on women's health",,
