publication_uuid,person_uuid
1,1
2,2
3,3
3,4
3,5
4,6
6,7
6,8
6,9
7,10
8,11
9,12
10,13
10,14
10,15
10,16
10,17
10,18
10,19
10,20
11,21
12,22
12,23
12,24
12,25
12,26
12,27
14,28
15,29
16,30
16,31
17,32
18,33
19,34
21,35
22,36
22,37
22,38
22,39
22,40
23,41
24,42
25,43
26,44
27,45
28,46
29,47
31,48
32,49
33,50
34,51
36,52
38,53
39,54
40,55
41,56
42,57
43,58
44,59
45,60
46,61
47,62
48,63
48,64
48,65
48,66
49,67
50,68
51,69
52,70
53,71
54,72
55,73
56,74
57,75
58,76
58,77
58,78
59,79
60,80
61,81
62,82
64,83
64,84
64,85
65,86
66,87
67,88
68,89
68,90
68,91
68,92
68,93
68,94
68,95
69,96
70,97
71,98
72,99
73,100
74,101
78,102
79,103
80,104
81,105
81,106
81,107
81,108
81,109
81,110
81,111
81,112
81,113
81,114
81,115
82,116
83,117
84,118
84,119
85,120
86,121
86,122
86,123
86,124
86,125
86,126
87,127
88,128
88,129
88,130
89,131
90,132
91,133
91,134
92,135
93,136
94,137
95,138
96,139
97,140
97,141
97,142
97,143
97,144
97,145
98,146
99,147
99,148
99,149
99,150
99,151
100,152
102,153
103,154
104,155
104,156
104,157
105,158
106,159
107,160
108,161
109,162
110,163
111,164
112,165
113,166
113,167
113,168
113,169
114,170
115,171
116,172
117,173
118,174
119,175
120,176
121,177
122,178
122,179
122,180
122,181
123,182
123,183
123,184
123,185
124,186
125,187
126,188
127,189
128,190
129,191
130,192
131,193
133,194
134,195
135,196
136,197
137,198
139,199
140,200
141,201
142,202
143,203
144,204
145,205
146,206
147,207
148,208
149,209
150,210
151,211
152,212
153,213
154,214
155,215
156,216
157,217
158,218
159,219
160,220
161,221
161,222
162,223
162,224
162,225
162,226
163,227
164,228
165,229
166,230
167,231
168,232
169,233
170,234
171,235
172,236
173,237
173,238
173,239
173,240
173,241
173,242
173,243
173,244
173,245
173,246
173,247
173,248
173,249
173,250
173,251
173,252
173,253
173,254
174,255
175,256
176,257
177,258
178,259
179,260
180,261
181,262
182,263
182,264
182,265
183,266
184,267
185,268
185,269
185,270
185,271
185,272
185,273
185,274
187,275
188,276
189,277
190,278
191,279
191,280
191,281
191,282
192,283
192,284
192,285
193,286
194,287
195,288
196,289
197,290
197,291
197,292
197,293
197,294
197,295
198,296
199,297
200,298
201,299
202,300
203,301
204,302
204,303
205,304
206,305
206,306
206,307
207,308
208,309
209,310
210,311
210,312
211,313
211,314
212,315
213,316
213,317
213,318
213,319
213,320
213,321
213,322
214,323
215,324
216,325
216,326
216,327
216,328
216,329
217,330
219,331
220,332
221,333
222,334
223,335
224,336
225,337
226,338
226,339
227,340
227,341
228,342
229,343
229,344
229,345
230,346
231,347
232,348
233,349
234,350
235,351
236,352
237,353
238,354
239,355
240,356
240,357
240,358
241,359
242,360
243,361
244,362
245,363
246,364
248,365
249,366
250,367
251,368
253,369
254,370
254,371
254,372
254,373
254,374
255,375
256,376
257,377
257,378
257,379
258,380
259,381
260,382
261,383
262,384
262,385
262,386
262,387
263,388
263,389
263,390
263,391
263,392
263,393
264,394
265,395
266,396
266,397
266,398
266,399
266,400
267,401
268,402
268,403
268,404
268,405
268,406
268,407
268,408
268,409
268,410
268,411
268,412
268,413
268,414
268,415
268,416
268,417
268,418
268,419
268,420
268,421
268,422
268,423
268,424
268,425
268,426
268,427
268,428
268,429
268,430
268,431
268,432
268,433
269,434
270,435
271,436
272,437
273,438
273,439
274,440
274,441
275,442
275,443
275,444
275,445
275,446
275,447
275,448
276,449
277,450
278,451
278,452
279,453
280,454
282,455
282,456
282,457
282,458
283,459
284,460
285,461
286,462
287,463
288,464
289,465
290,466
290,467
290,468
290,469
291,470
291,471
292,472
292,473
292,474
293,475
294,476
295,477
295,478
295,479
295,480
296,481
298,482
299,483
299,484
299,485
299,486
299,487
299,488
300,489
300,490
301,491
301,492
301,493
301,494
301,495
302,496
303,497
304,498
305,499
306,500
307,501
308,502
309,503
309,504
309,505
309,506
309,507
309,508
309,509
309,510
309,511
309,512
309,513
309,514
309,515
310,516
311,517
312,518
313,519
314,520
315,521
316,522
317,523
318,524
319,525
319,526
319,527
320,528
321,529
322,530
323,531
324,532
325,533
326,534
327,535
328,536
329,537
330,538
331,539
332,540
333,541
334,542
334,543
335,544
336,545
337,546
337,547
337,548
338,549
339,550
340,551
340,552
340,553
340,554
340,555
341,556
342,557
343,558
344,559
344,560
344,561
344,562
345,563
