temp_id,title,pubmed_id,journal,year,url,abstract
1,"The effect of 1,25-vitamin D3 on maturation of monocytes from HIV-infected patients varies with degree of immunodeficiency.",8920807,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica. Volume: 104 Issue: 7-8",,http://www.ncbi.nlm.nih.gov/pubmed/8920807/,"The active metabolite of vitamin D, 1,25-dihydroxyvitamin D3 (1,25D), has been shown to induce monocyte-to-macrophage maturation in vitro as well as monocytic differentiation of bone marrow precursors and monocytic leukaemic cell lines. In this study we assessed whether 1,25D could improve the maturation defect we have previously demonstrated in monocytes from AIDS patients. In vitro growth and maturation of monocytes from 10 controls, 15 asymptomatic HIV positives (CDC group II or III) and 13 symptomatic HIV positives (CDC group IV) was examined by assessing cellular morphology, differentiation, adherence and protein content. Cells were cultured for 10 days with or without addition of 1,25D at a concentration of 100 pg/ml. In addition, patients were monitored clinically and by immunological parameters and HIV p24 antigen in serum. The present study showed that addition of 1,25D significantly improved the growth and maturation in both patient and control groups. There was a significant negative correlation between response to 1,25D and CD4+ lymphocyte count in blood in HIV-infected patients. A greater response to 1,25D was seen in monocytes from patients with advanced immunodeficiency and symptomatic disease than in monocytes from asymptomatic patients. However, in the most advanced cases of HIV infection with serious ongoing opportunistic infections the response to 1,25D was very poor, possibly reflecting profound and incorrigible dysfunction of monocytes."
2,Clinical confidence following an interprofessional educational program on eating disorders for health care professionals: a qualitative analysis.,22936849,Journal of multidisciplinary healthcare. Volume: 5 2012,2012,http://www.ncbi.nlm.nih.gov/pubmed/22936849/,"There are an increasing number of educational programs to improve clinical competence and skills to treat mental disorders. For complex disorders there is also a focus on improving the quality of interprofessional work. This paper reports on interprofessional outputs of an educational program on eating disorders. A total of 207 professionals who completed the program were requested to describe up to 12 possible scenarios depicted as realistic prospects for their future work within this field. Analyzing the scenarios resulted in three categories of describing the participants' preferences: (1) interprofessional interventions and treatment; (2) the further development of competence; and (3) organization of the health care system. The findings showed that the participants were considering working across new lines in their current workplaces or crossing borders to new frontiers in the execution of competence. Our findings may be summarized into the concept of ""clinical confidence."" This concept has so far been understood as some kind of personal trait, disposition, or attitude. The present findings add nuances to this concept in terms of state-dependent encouragement, engagement, and a potential to act and to cross professional borders in order to better treat complex mental disorders."
3,Authors' response: Understanding variation in disease risk.,25842265,International journal of epidemiology. Volume: 44 Issue: 4 Aug 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/25842265/,
4,First-order excited state properties in the four-component Hartree-Fock approximation: the excited state electric dipole moments in CsAg and CsAu.,17313221,The Journal of chemical physics. Volume: 126 Issue: 6 Feb 14 2007,2007,http://www.ncbi.nlm.nih.gov/pubmed/17313221/,"An implementation of the second-order residue of the quadratic response function is presented in the four-component Hartree-Fock approximation, and the calculation of first-order properties of electronically excited states can thereby be achieved. Results are presented for the excited state electric dipole moments of the valence excited states in CsAg and CsAu. For CsAg, and even more so for CsAu, nonscalar relativistic effects on this property may be substantial, e.g., at the four-component level of theory, the excited-to-ground state dipole moment difference Deltamu ranges from 1.994 to 4.110 a.u. for the six components of the 1 (3)Pi state in CsAg, whereas, at the scalar relativistic level of theory, the common value of Deltamu is 2.494 a.u."
5,Predictors of initial levels and trajectories of depressive symptoms in women with breast cancer undergoing radiation therapy.,23132125,Cancer nursing. Volume: 36 Issue: 6,,http://www.ncbi.nlm.nih.gov/pubmed/23132125/,"Women with breast cancer undergoing radiation therapy (RT) are at increased risk for depressive symptoms. However, only 4 studies specifically evaluated changes in and predictors of depressive symptoms in these patients."
6,"Effectiveness of an intermediate care hospital on readmissions, mortality, activities of daily living and use of health care services among hospitalized adults aged 60 years and older--a controlled observational study.",26315779,BMC health services research. Volume: 15 Aug 28 2015,2015,http://www.ncbi.nlm.nih.gov/pubmed/26315779/,"Intermediate care is a health care model developed to optimize the coordination of health care services and functional independence. In Central Norway, an intermediate care hospital (ICH) was established in a municipality to improve hospital discharge and follow-up among elderly patients with chronic conditions and comprehensive care needs. The aim of this study was to investigate the effectiveness of hospital discharges to a municipality with an ICH compared to discharges to a municipality without an ICH."
7,Incidence and clinical presentation of IBD in children: comparison between prospective and retrospective data in a selected Norwegian population.,17101574,Scandinavian journal of gastroenterology. Volume: 41 Issue: 12 Dec 2006,2006,http://www.ncbi.nlm.nih.gov/pubmed/17101574/,The results of recent research suggest that there is an increasing incidence of inflammatory bowel disease (IBD) among children. Newly diagnosed IBD was compared between two consecutive 6-year periods in the same catchment area of southeastern Norway.
8,Subcellular localisation and induction of NADH-sensitive acetyl-CoA hydrolase and propionyl-CoA hydrolase activities in rat liver under lipogenic conditions after treatment with sulfur-substituted fatty acids.,7696329,Biochimica et biophysica acta. Volume: 1255 Issue: 2 Mar 16 1995,1995,http://www.ncbi.nlm.nih.gov/pubmed/7696329/,"The effects of sulfur-substituted fatty acid analogues on the subcellular distribution and activities of acetyl-CoA and propionyl-CoA hydrolases in rats fed a high carbohydrate diet were studied. Among subcellular fractions of liver homogenates from rats fed a high carbohydrate diet (20%), the acetyl-CoA and propionyl-CoA hydrolase activities are found in the mitochondrial, peroxisome-enriched and cytosolic fractions. We have shown that the subcellular distribution of acetyl-CoA hydrolase appears to be different from the distribution propionyl-CoA hydrolase activity. Thus, the highest specific activity of acetyl-CoA hydrolase was found in the mitochondrial fraction, whereas the highest specific activity of propionyl-CoA hydrolase was found in the peroxisome-enriched fraction. Rats treated with sulfur-substituted fatty acids, i.e., 3-thiadicarboxylic acid (400 mg/day per kg body weight), showed a significant increase in acetyl-CoA hydrolase activity where the peroxisomal and cytosolic hydrolases were increased 3.9- and 2.7-fold, respectively, compared to palmitic acid treated rats. Similar results were obtained with tetradecylthioacetic acid treated rats. Propionyl-CoA hydrolase activities, in rats treated with these two peroxisome proliferating fatty acid analogues showed increased activity mainly in the mitochondrial and the cytosolic subcellular fractions. Acetyl-CoA hydrolase activity was sensitive to NADH, whereas no stimulation of the propionyl-CoA hydrolase activity was observed in the presence of NADH. The hepatic amounts of acetyl-CoA, propionyl-CoA, and free CoASH were elevated after sulfur-substituted fatty acid treatment. Sulfur-substituted fatty acids also elevated the specific acetyl-CoA hydrolase activity in the mitochondrial fraction and the propionyl-CoA hydrolase activity in the light-mitochondrial fraction. These results, therefore, suggest that acetyl-CoA hydrolase and propionyl-CoA hydrolase are two distinct proteins and that these two enzymes have a multiorganelle localisation."
9,Can persistent drop foot after calf muscle lengthening be predicted preoperatively?,19857817,The Journal of foot and ankle surgery : official publication of the American College of Foot and Ankle Surgeons. Volume: 48 Issue: 6,,http://www.ncbi.nlm.nih.gov/pubmed/19857817/,"Calf muscle lengthening usually corrects equinus gait satisfactorily in stance. While in swing, the foot remains in drop foot in approximately half the limbs. The aim of this study was to evaluate if any preoperative clinical findings or kinematic and kinetic data could predict the outcome regarding drop foot. The study included 34 children with cerebral palsy. The average age was 9.3 years. Only children with preoperative maximum ankle dorsiflexion in stance and maximum ankle dorsiflexion in swing more than 2 standard deviations below the normal mean were included. The children underwent preoperative and postoperative clinical examination and gait analysis. Forty calf muscle lengthenings were performed (26 tendo-achilles lengthenings, 14 gastrocnemius recessions). Nineteen of 40 limbs remained in drop foot despite satisfactory correction in stance. There was a significant association between postoperative drop foot and increased preoperative maximum plantar flexion in initial swing (P = .004; odds ratio, 0.906). A limited number of tests of preoperative selective motor control of dorsiflexion of the ankle indicated that normal function is strongly indicative of postoperative normal swing phase. There were no significant associations between postoperative drop foot and preoperative clinical findings, gait function, type of gait pattern, type of cerebral palsy, and type of operation. Preoperative maximum plantar flexion in an initial swing of less than -42 degrees and a preoperative normal selective motor control of dorsiflexion of the ankle are strongly indicative of postoperative normal swing phase. A lower selective motor control score rather than normal function is not predictive of either normal swing or drop foot."
10,A Variant in the BACH2 Gene Is Associated With Susceptibility to Autoimmune Addison's Disease in Humans.,27680876,The Journal of clinical endocrinology and metabolism. Volume: 101 Issue: 11 Nov 2016,2016,http://www.ncbi.nlm.nih.gov/pubmed/27680876/,"Autoimmune Addison's disease (AAD) is a rare but highly heritable condition. The BACH2 protein plays a crucial role in T lymphocyte maturation, and allelic variation in its gene has been associated with a number of autoimmune conditions."
